2014 ACC Mens Championship	ACC
2014 Big 12 Swimming & Diving	Big 12
2014 Mens B1G Swimming & Divi	Big 10
2014 SEC Swimming & Diving Cha	SEC
2014 MENS PAC12 SWIMMING/DIVI	Pac 12
2014 Mens Ivy League Champion	Ivy League
American Athletic Conference C	AAC
2014 WAC Championship Meet	WAC
2014 C-USA Womens Champs & C-	C-USA
Horizon League Championships 2	Horizon
2014 MAC Mens Championships	MAC
2014ECAC Swimming & Diving Ope	ECAC
2014 CAA Championship	CAA
2014 Patriot League Championsh	Patriot
2014 Summit Swimming & Diving	Summit
Atlantic 10 Swimming & Diving	A10
2014 Big East Championships	Big East
2014 CCSA Swimming and Diving	CCSA
2014 MAAC Championships	MAAC
2014 CA OBS MPSF Swim & Dive C	MPSF
