2014 WOMEN’S PAC-12 SWIMMING CH	Pac 12
2014 Mountain West Swimming &	Mountain West
2014 B1G Women’s Swim & Dive C	Big 10
2014 SEC Swimming & Diving Cha	SEC
American Athletic Conference C	AAC
2014 CA OBS MPSF Swim & Dive C	MPSF
2014 Big 12 Swimming & Diving	Big 12
2014ECAC Swimming & Diving Ope	ECAC
2014 CCSA Swimming and Diving	CCSA
2014 ACC Women’s Championship	ACC
2014  Women’s Ivy League Champi	Ivy League
2014 Summit Swimming & Diving	Summit
2014 C-USA Women’s Champs & C-	C-USA
2014 Patriot League Championsh	Patriot
2014 MAC Swimming and Diving C	MAC
2014 CAA Championship	CAA
2014 America East Swim & Dive	America East
2014 WAC Championship Meet	WAC
2014 Big East Championships	Big East
Atlantic 10 Swimming & Diving	A10
Horizon League Championships 2	Horizon
NEC CONFERENCE SWIMMING & DIVI	NEC
Missouri Valley Conference Cha	Missouri Valley
2014 MAAC Championships	MAAC
